word,ipa,count,ipa_edited,pos,syns
लगातार,ləɡaːtaːr,7921,lagatar,ADV,True
जीत,d͡ʒiːt,7920,ʒit,NOUN,True
आरोप,aːrop,7907,arop,NOUN,True
विधानसभा,vid̤aːnsəb̤aː,7903,vidansaba,PROPN,True
वहां,vəɦaːn,7889,vahan,ADV,False
बड़ा,bəɽaː,7832,bada,ADJ,True
फीसदी,pʰiːsdiː,7783,pisdi,X,True
इंडिया,inɖijaː,7771,indija,PROPN,True
यानी,jaːniː,7753,jani,CONJ,False
द्वारा,dvaːraː,7739,dvara,ADP,True
हूं,ɦuːn,7729,hun,X,False
इसलिए,islie,7710,islie,ADV,True
घटना,ɡ̤əʈnaː,7666,g̤atna,NOUN,True
जाती,d͡ʒaːtiː,7612,ʒati,NOUN,True
भाजपा,b̤aːd͡ʒpaː,7608,baʒpa,PROPN,True
रिपोर्ट,riporʈə,7578,riporta,X,True
तरफ,tərəpʰ,7553,tarap,NOUN,True
गांधी,ɡaːnd̤iː,7452,gandi,PROPN,True
उसने,usne,7409,usne,PRON,False
थीं,tʰiːn,7381,tin,VERB,False
खुद,kʰud,7323,kud,ADJ,False
उसकी,uskiː,7231,uski,PRON,False
अध्यक्ष,ad̤jəkʂə,7197,adjaksa,NOUN,True
राहुल,raːɦul,7197,rahul,PROPN,True
मदद,mədəd,7122,madad,NOUN,True
करती,kərtiː,7054,karti,VERB,False
सवाल,səvaːl,7052,saval,NOUN,True
मिली,miliː,6990,mili,NOUN,False
क्षेत्र,kʂetrə,6923,ksetra,NOUN,True
आरोपी,aːropiː,6918,aropi,NOUN,True
चुके,t͡ʃuke,6862,t͡ʃuke,VERB,False
टेस्ट,ʈesʈə,6862,testa,NOUN,True
सोशल,soʃəl,6861,soʃal,X,False
पंजाब,pəɲd͡ʒaːb,6834,panʒab,PROPN,True
अमेरिका,amerikaː,6806,amerika,PROPN,True
जिसके,d͡ʒiske,6704,ʒiske,PART,False
बनाने,bənaːne,6678,banane,VERB,False
चार,t͡ʃaːr,6671,t͡ʃar,NUM,True
हाल,ɦaːl,6641,hal,ADV,True
बन,bən,6640,ban,VERB,True
बजे,bəd͡ʒe,6570,baʒe,X,True
यूपी,juːpiː,6547,jupi,PROPN,True
देखने,dekʰne,6544,dekne,X,False
पूरा,puːraː,6535,pura,ADJ,True
राष्ट्रपति,raːʂʈrəpti,6525,rastrapti,PROPN,True
होते,ɦote,6514,hote,VERB,False
दूसरी,duːsriː,6506,dusri,NOUN,True
फोन,pʰon,6484,pon,NOUN,True
कोशिश,koʃiʃ,6440,koʃiʃ,NOUN,True
हत्या,ɦətjaː,6411,hatja,VERB,True
मामला,maːmlaː,6407,mamla,NOUN,True
क्यों,kjon,6388,kjon,PRON_WH,True
हजार,ɦəd͡ʒaːr,6387,haʒar,NUM,True
जगह,d͡ʒəɡəɦ,6358,ʒagah,NOUN,True
बड़े,bəɽe,6309,bade,ADJ,False
बयान,bəjaːn,6308,bajan,NOUN,True
गिरफ्तार,ɡirpʰtaːr,6256,girptar,VERB,True
पीएम,piːem,6220,piem,PROPN,True
सीएम,siːem,6193,siem,PROPN,True
सेना,senaː,6183,sena,NOUN,True
ली,liː,6177,li,NOUN,True
बंद,bəndə,6164,banda,VERB,True
नई,nəi,6145,nai,ADJ,False
चुकी,t͡ʃukiː,6109,t͡ʃuki,ADV,False
फैसला,pʰæːslaː,6097,paesla,NOUN,True
शर्मा,ʃərmaː,6072,ʃarma,PROPN,False
पूरे,puːre,6062,pure,X,False
तौर,tɔːr,5996,tor,NOUN,True
सीट,siːʈ,5996,sit,NOUN,True
पहुंच,pəɦuɲt͡ʃə,5974,pahunt͡ʃa,NOUN,True
इस्तेमाल,istemaːl,5964,istemal,NOUN,True
तहत,təɦət,5922,tahat,X,True
स्थिति,stʰiti,5911,stiti,NOUN,True
देखा,dekʰaː,5910,deka,PART,False
देशों,deʃon,5905,deʃon,NOUN,False
मिला,milaː,5894,mila,PART,True
कभी,kəb̤iː,5877,kabi,ADV,True
वक्त,vəktə,5839,vakta,NOUN,True
जिस,d͡ʒis,5782,ʒis,NOUN,False
ना,naː,5760,na,PART_NEG,True
लिखा,likʰaː,5751,lika,X,True
जाते,d͡ʒaːte,5744,ʒate,VERB,False
जवाब,d͡ʒəvaːb,5735,ʒavab,NOUN,True
शो,ʃo,5730,ʃo,NOUN,False
पांच,paːɲt͡ʃə,5728,pant͡ʃa,NUM,True
संख्या,səŋkʰjaː,5726,sankja,NOUN,True
शुरुआत,ʃuruaːt,5697,ʃuruat,NOUN,True
विकेट,vikeʈ,5685,viket,NOUN,True
तैयार,tæːjaːr,5674,taejar,ADV,True
कुल,kul,5670,kul,X,True
कीमत,kiːmət,5649,kimat,NOUN,True
सुरक्षा,surkʂaː,5646,surksa,NOUN,True
देते,dete,5627,dete,VERB,False
ऐसी,æːsiː,5611,aesi,ADJ,False
कार,kaːr,5588,kar,NOUN,True
कैसे,kæːse,5579,kaese,PRON_WH,True
मां,maːn,5561,man,NOUN,True
मुंबई,mumbəi,5552,mumbai,PROPN,True
लेने,lene,5536,lene,VERB,False
बैंक,bæːŋkə,5534,baenka,NOUN,True
बैठक,bæːʈʰək,5518,baetak,NOUN,True
केंद्र,kendrə,5501,kendra,NOUN,True
पद,pəd,5486,pad,NOUN,True
करके,kərke,5469,karke,VERB,False
विभाग,vib̤aːɡ,5457,vibag,NOUN,True
हमारे,ɦəmaːre,5443,hamare,PRON,False
रात,raːt,5438,rat,NOUN,True
करेंगे,kəreŋɡe,5416,karenge,VERB,False
आपके,aːpke,5414,apke,PRON,False
गुजरात,ɡud͡ʒraːt,5397,guʒrat,PROPN,True
बनाया,bənaːjaː,5381,banaja,VERB,False
बोर्ड,borɖə,5376,borda,NOUN,True
चर्चा,t͡ʃərt͡ʃaː,5372,t͡ʃart͡ʃa,NOUN,True
दरअसल,dərasəl,5366,darasal,ADV,True
लगाया,ləɡaːjaː,5365,lagaja,VERB,False
बारिश,baːriʃ,5354,bariʃ,NOUN,True
केस,kes,5353,kes,NOUN,True
जिले,d͡ʒile,5348,ʒile,NOUN,False
उन,un,5321,un,PART,False
अस्पताल,aspətaːl,5290,aspatal,NOUN,True
विधायक,vid̤aːjək,5287,vidajak,PROPN,True
मांग,maːŋɡə,5286,manga,NOUN,True
माना,maːnaː,5267,mana,PROPN,False
दावा,daːvaː,5257,dava,NOUN,True
सीरीज,siːriːd͡ʒ,5250,siriʒ,NOUN,True
पत्नी,pətniː,5212,patni,NOUN,True
मिलने,milne,5200,milne,NOUN,False
परीक्षा,pəriːkʂaː,5199,pariksa,NOUN,True
कप,kəp,5186,kap,NOUN,True
जाएगी,d͡ʒaːeɡiː,5183,ʒaegi,VERB,False
रखा,rəkʰaː,5182,raka,VERB,False
बढ़,bəɽ̥ə,5178,bad̥a,NOUN,False
बिहार,biɦaːr,5171,bihar,PROPN,True
मौजूद,mɔːd͡ʒuːd,5171,moʒud,ADJ,True
बच्चों,bət͡ʃt͡ʃon,5166,bat͡ʃt͡ʃon,NOUN,False
राष्ट्रीय,raːʂʈriːj,5165,rastrij,ADJ,True
कार्रवाई,kaːrrəvaːiː,5144,karravai,NOUN,True
अलग,aləɡ,5139,alag,ADJ,True
जरूरत,d͡ʒəruːrət,5128,ʒarurat,NOUN,True
राजस्थान,raːd͡ʒstʰaːn,5125,raʒstan,PROPN,True
गांव,ɡaːnvə,5098,ganva,NOUN,True
उम्मीदवार,ummiːdvaːr,5068,ummidvar,NOUN,True
बनाए,bənaːe,5046,banae,VERB,False
जनता,d͡ʒəntaː,5041,ʒanta,NOUN,True
प्रदर्शन,prədrʃən,5031,pradrʃan,NOUN,True
प्रति,prəti,5030,prati,ADP,True
रह,rəɦ,4998,rah,VERB,False
सुबह,subəɦ,4984,subah,ADV,True
मैंने,mæːnne,4954,maenne,PRON,False
लगभग,ləɡb̤əɡ,4939,lagbag,ADV,True
आम,aːm,4930,am,NOUN,True
ऑफ,ऑpʰə,4918,ऑpa,ADP,False
खास,kʰaːs,4899,kas,ADJ,True
क्रिकेट,krikeʈ,4897,kriket,NOUN,True
मौके,mɔːke,4874,moke,NOUN,False
चला,t͡ʃəlaː,4867,t͡ʃala,X,False
नंबर,nəmbər,4849,nambar,NOUN,True
होना,ɦonaː,4848,hona,PART,True
चाहते,t͡ʃaːɦte,4834,t͡ʃahte,VERB,False
